peak,gene_symbol,ENSEMBL_ID,score,chromosome,strand,start,end
X12196,NA,ENSG00000248103,73.2304739952087,chr5,+,181280800,181282399
X5859,AHCYP5,ENSG00000213107,73.2131524085999,chr2,-,195618400,195620599
X4421,LOC100421347,ENSG00000271597,73.2088088989258,chr2,-,69222800,69226799
X19419,RUFY2,ENSG00000204130,73.2077641487122,chr10,-,68370600,68376799
X28974,NA,ENSG00000260647,73.2037119865417,chr17,+,18283400,18286799
X34729,NA,ENSG00000236054,73.1993126869202,chr22,+,32570200,32572999
X29215,NA,ENSG00000266448,73.1948590278625,chr17,+,31672200,31675799
X14430,SEPTIN7,ENSG00000122545,73.1911034584045,chr7,+,35809200,35812799
X7265,NA,ENSG00000213600,73.1902441978455,chr3,+,50243000,50249199
X33650,PMEPA1,ENSG00000124225,73.1902441978455,chr20,-,57719200,57725399
X18876,NA,ENSG00000229190,73.1774840354919,chr10,-,17711400,17714599
X23470,NA,ENSG00000201228,73.1763710975647,chr12,-,31509200,31510799
X763,AGO4,ENSG00000134698,73.16530418396,chr1,+,35812400,35815599
X7854,WDR5B,ENSG00000196981,73.1638154983521,chr3,-,122404800,122409399
X33617,NA,ENSG00000197670,73.1636166572571,chr20,+,53568400,53573999
X5892,C2orf69,ENSG00000178074,73.1569199562073,chr2,+,199916800,199920599
X24132,EID3,ENSG00000255150,73.1467113494873,chr12,+,104340800,104343599
X35382,EBP,ENSG00000147155,73.1365718841553,chrX,+,48519000,48522599
X28540,NA,ENSG00000279841,73.1328935623169,chr16,+,81658600,81662399
X9716,RNU6-733P,ENSG00000222691,73.1220417022705,chr4,-,107861600,107864599
X32218,NA,ENSG00000266973,73.117897510528607,chr19,+,36359400,36362999
X16956,NA,ENSG00000283197,73.1176919937134,chr8,+,133529400,133530799
X7503,FILIP1L,ENSG00000168386,73.1148257255554,chr3,-,100043800,100047999
X32829,NA,ENSG00000269476,73.1115574836731,chr19,-,57903000,57904399
X14769,LANCL2,ENSG00000132434,73.1107439994812,chr7,+,55405200,55409799
X9973,NEIL3,ENSG00000109674,73.0994510650635,chr4,+,177311200,177313199
X4309,NA,ENSG00000281071,73.0992484092712,chr2,-,63600200,63603599
X29888,RPL36AP46,ENSG00000224011,73.0930247306824,chr17,-,60728200,60732599
X14341,NA,ENSG00000250424,73.0923810005188,chr7,+,30847600,30853799
X11768,MFAP3,ENSG00000037749,73.091197013855,chr5,+,154037800,154039799
X19660,NA,ENSG00000213514,73.0848841667175,chr10,+,77720000,77725399
X24540,NA,ENSG00000279500,73.07967710495,chr12,-,128791200,128796199
X11465,NA,ENSG00000270021,73.068678855896,chr5,+,135359800,135361399
X11163,NA,ENSG00000249791,73.0583171844482,chr5,+,115225400,115228399
X5736,NA,ENSG00000280636,73.0328574180603,chr2,-,179943600,179946799
X4457,GMCL1,ENSG00000087338,73.0252413749695,chr2,+,69820600,69825399
X30288,TRIM80P,ENSG00000232724,73.023913860321,chr17,+,75070000,75074199
X406,NA,ENSG00000271840,73.023754119873,chr1,+,22091800,22092999
X5884,COQ10B,ENSG00000115520,73.0220055580139,chr2,+,197451800,197454399
X6367,SH3BP4,ENSG00000130147,73.0131807327271,chr2,+,235009600,235013999
X21401,NA,ENSG00000254879,73.010938167572,chr11,-,48022000,48026399
X29343,KRT10,ENSG00000186395,73.009895324707,chr17,-,40833200,40835799
X10600,GPBP1,ENSG00000062194,73.0092220306396,chr5,+,57215400,57220399
X9169,TBC1D1,ENSG00000065882,73.0087814331055,chr4,+,37898200,37901599
X14772,LANCL2,ENSG00000132434,73.0034132003784,chr7,+,55444200,55447799
X10481,NA,ENSG00000272234,72.993944644928,chr5,+,42791000,42796599
X822,NDUFS5,ENSG00000168653,72.993842124939,chr1,+,39030000,39031999
X5652,ITGA6-AS1,ENSG00000232788,72.9831948280334,chr2,-,172455600,172456799
X12063,CPEB4,ENSG00000113742,72.9828209877014,chr5,+,173921400,173925399
X19412,RPS3AP38,ENSG00000226318,72.9826221466064,chr10,-,67926800,67932399
X17618,CHMP5,ENSG00000086065,72.9730162620544,chr9,+,33274800,33278599
X1163,CZIB,ENSG00000162384,72.9634652137756,chr1,-,53219000,53222599
X33889,MAP3K7CL,ENSG00000156265,72.9589653015137,chr21,+,29088200,29090399
X12847,KHDC1-AS1,ENSG00000229852,72.9559497833252,chr6,+,73274000,73277799
X34257,RTN4R,ENSG00000040608,72.9462094306946,chr22,-,20267000,20273999
X34385,SPECC1L-ADORA2A,ENSG00000258555,72.9438562393188,chr22,+,24289600,24291799
X18799,CAMK1D,ENSG00000183049,72.9404730796814,chr10,+,12345200,12348999
X22553,RAD52,ENSG00000002016,72.9404730796814,chr12,-,929400,933199
X28748,LOC101927911,ENSG00000262884,72.9397196769714,chr17,-,2997600,3000399
X29388,NA,LRG_112,72.9324216842651,chr17,-,42364200,42367799
X35348,KDM6A,ENSG00000147050,72.9322228431702,chrX,+,45003200,45007199
X9792,C4orf33,ENSG00000151470,72.9294056892395,chr4,+,129070800,129076399
X15764,NA,ENSG00000250516,72.9293775558472,chr8,+,28186800,28191599
X21376,NA,ENSG00000270072,72.928936958313,chr11,-,47511400,47513599
X18301,NA,ENSG00000227200,72.9250063896179,chr9,+,124304000,124310599
X22241,LINC02764,ENSG00000255484,72.9250063896179,chr11,-,112547800,112553399
X12872,TMEM30A-DT,ENSG00000225793,72.9211268424988,chr6,+,75286200,75289799
X31695,RANBP3,ENSG00000031823,72.9202814102173,chr19,-,5963200,5968399
X24224,NA,ENSG00000272215,72.9197368621826,chr12,-,111507800,111509199
X1698,NA,ENSG00000273373,72.9187288284302,chr1,+,110370400,110372199
X31339,FBXO15,ENSG00000141665,72.9166450500488,chr18,-,74148000,74150799
X5655,NA,ENSG00000199866,72.9125008583069,chr2,-,172586600,172591199
X5522,NA,ENSG00000281472,72.9081568717957,chr2,-,158598800,158600999
X563,SLC9A1,ENSG00000090020,72.9056057929993,chr1,-,27152000,27156399
X31772,ZNF266,ENSG00000174652,72.90123462677,chr19,-,9428000,9432599
X14290,NA,ENSG00000237065,72.897355556488,chr7,+,29287000,29290799
X26833,LOC100507437,ENSG00000251602,72.8791766166687,chr14,-,105411000,105414599
X30525,RPL31P7,ENSG00000232083,72.8707275390625,chr17,-,80675200,80678599
X24805,MED4-AS1,ENSG00000229111,72.8678545951843,chr13,+,48071200,48073599
X22881,RPL37P20,ENSG00000239701,72.8661665916443,chr12,+,7026800,7034399
X18952,MASTL,ENSG00000120539,72.8648390769958,chr10,+,27147000,27152599
X28446,SNORD111,ENSG00000221066,72.8588309288025,chr16,+,70547200,70550799
X3133,SLC35F3,ENSG00000183780,72.8570022583008,chr1,+,233936200,233937999
X27776,NA,ENSG00000261054,72.8546299934387,chr15,-,99122200,99126399
X34564,NA,ENSG00000224027,72.8493180274963,chr22,-,27519600,27525399
X1429,LMO4,ENSG00000143013,72.8488206863403,chr1,+,87344200,87346799
X8370,NA,ENSG00000243116,72.846489906311,chr3,-,159745400,159749999
X18948,NA,ENSG00000223027,72.8391094207764,chr10,+,26783800,26788399
X7568,NA,ENSG00000243635,72.8386406898499,chr3,+,104904600,104906999
X26395,MIDEAS,ENSG00000156030,72.8379955291748,chr14,-,73800800,73805799
X7886,SEC22A,ENSG00000121542,72.8288879394531,chr3,+,123217400,123220199
X6809,NA,ENSG00000231395,72.8286824226379,chr3,-,23869800,23870799
X9778,NA,ENSG00000273077,72.8273425102234,chr4,-,128474200,128477799
X11571,ZMAT2,ENSG00000146007,72.8232922554016,chr5,+,140704000,140706799
X35334,NA,ENSG00000269941,72.8228330612183,chrX,+,41210600,41211599
X12941,NA,ENSG00000220695,72.8130555152893,chr6,+,100617800,100619599
X2675,NFASC,ENSG00000163531,72.8111820220947,chr1,+,204851800,204854999
X5760,RNU6-1122P,ENSG00000207178,72.7997045516968,chr2,+,182915000,182916799
X25711,NA,ENSG00000258952,72.7989182472229,chr14,+,60645200,60650399
X20997,NA,ENSG00000254680,72.7986469268799,chr11,-,12226000,12230399
X10045,LOC100310782,ENSG00000214278,72.7960457801819,chr5,-,359400,363799
X2594,NA,ENSG00000236390,72.7914752960205,chr1,-,201654000,201658799
X25446,NA,ENSG00000258745,72.7914752960205,chr14,+,50910000,50914799
X25041,TEX29,ENSG00000153495,72.7914476394653,chr13,+,111323800,111329199
X18185,NA,ENSG00000241978,72.7847232818604,chr9,+,110121000,110125599
X23420,NA,ENSG00000244712,72.7843103408813,chr12,-,28559400,28562599
X23577,NA,ENSG00000207142,72.7787709236145,chr12,+,42448800,42452999
X8368,RPS2P19,ENSG00000244249,72.7762713432312,chr3,-,159459600,159461199
X602,NA,ENSG00000206779,72.7650461196899,chr1,-,28399400,28402799
X6320,NA,ENSG00000251485,72.7627940177917,chr2,+,232321000,232323599
X19308,NA,ENSG00000270541,72.7622785568237,chr10,+,56037400,56041399
X33562,RN7SL672P,ENSG00000239742,72.7523417472839,chr20,-,50553400,50555799
X12590,TRERF1,ENSG00000124496,72.7470836639404,chr6,-,42363000,42369199
X27633,FAH,ENSG00000103876,72.7321224212646,chr15,+,80132000,80135799
X24475,PITPNM2,ENSG00000090975,72.7313075065613,chr12,-,123147600,123152599
X3817,MEMO1,ENSG00000162959,72.7278990745544,chr2,-,31997600,32000399
X26223,NA,ENSG00000259115,72.7155323028564,chr14,-,70630600,70636399
X15967,NA,ENSG00000254274,72.713445186615,chr8,+,54083800,54084999
X8497,ZMAT3,ENSG00000172667,72.708803653717,chr3,-,179045000,179048799
X19953,PLCE1-AS1,ENSG00000268894,72.706262588501,chr10,-,94284000,94288599
X22200,RDX,ENSG00000137710,72.7048788070679,chr11,-,110234200,110238199
X6232,NA,ENSG00000236116,72.7022366523743,chr2,-,227555200,227558399
X15133,RPL21P74,ENSG00000237551,72.6898021697998,chr7,+,96268400,96271799
X3277,NA,ENSG00000203635,72.6824350357056,chr2,-,1638200,1641399
X26355,NA,ENSG00000259109,72.6803588867188,chr14,+,73185600,73187399
X31474,POLRMT,ENSG00000099821,72.6788778305054,chr19,-,625600,627599
X35217,PPP6R2,ENSG00000100239,72.6784086227417,chr22,+,50367000,50368199
X22569,NA,ENSG00000275811,72.6653308868408,chr12,-,1216200,1218799
X22406,HYLS1,ENSG00000198331,72.6594429016113,chr11,+,125885800,125890399
X10869,LOC100422441,ENSG00000253558,72.6447954177856,chr5,-,78029600,78032799
X8388,ARL14,ENSG00000179674,72.629234790802,chr3,+,160677800,160680199
X6278,HTR2B,ENSG00000135914,72.6143841743469,chr2,-,231112600,231116599
X12657,MIR4642,ENSG00000266619,72.6135249137878,chr6,+,44444000,44449199
X22583,NA,ENSG00000267285,72.6049237251282,chr12,+,1388600,1389399
X5866,STK17B,ENSG00000081320,72.6035151481628,chr2,-,196164000,196167999
X8516,USP13,ENSG00000058056,72.5919394493103,chr3,+,179701800,179705599
X32529,SLC8A2,ENSG00000118160,72.5877394676208,chr19,-,47477800,47480999
X6826,NA,ENSG00000228791,72.5849671363831,chr3,+,24478800,24482399
X12697,EFHC1,ENSG00000096093,72.5822558403015,chr6,+,52429600,52434199
X2989,COQ8A,ENSG00000163050,72.568332195282,chr1,+,226898800,226902799
X15789,NA,ENSG00000247134,72.5616359710693,chr8,+,32992800,32997199
X24369,MIR4498,ENSG00000266704,72.5615797042847,chr12,-,120165800,120169999
X15637,NA,ENSG00000253697,72.5602521896362,chr8,-,9692800,9697399
X3220,ADSS2,ENSG00000035687,72.5543427467346,chr1,-,244450800,244452199
X6559,BHLHE40-AS1,ENSG00000235831,72.546103477478,chr3,-,4994800,4998999
X9688,NA,ENSG00000250496,72.5447316169739,chr4,-,99020000,99024599
X32875,ANGPT4,ENSG00000101280,72.5446753501892,chr20,-,881400,885599
X20656,RNA5SP328,ENSG00000222740,72.5445322990417,chr10,-,126154400,126159199
X27712,TICRR,ENSG00000140534,72.5291986465454,chr15,+,89575400,89579199
X10376,LMBRD2,ENSG00000164187,72.5243854522705,chr5,-,36151000,36157599
X31106,NA,ENSG00000267587,72.5145468711853,chr18,-,46867600,46872199
X17997,PTPDC1,ENSG00000158079,72.5122323036194,chr9,+,94028800,94032199
X2964,NA,ENSG00000226349,72.5048794746399,chr1,-,225723400,225727799
X4582,NA,ENSG00000257800,72.5009717941284,chr2,+,74061400,74063799
X11051,EFNA5,ENSG00000184349,72.5001125335693,chr5,-,107512000,107516599
X17563,NA,ENSG00000235148,72.4898762702942,chr9,-,31868200,31870599
X27404,NA,ENSG00000261318,72.484393119812,chr15,-,66309400,66312999
X6231,AGFG1,ENSG00000173744,72.4830093383789,chr2,+,227508800,227511999
X20539,ATE1-AS1,ENSG00000226864,72.471168994903607,chr10,+,121918000,121923599
X15636,NA,ENSG00000253697,72.4668335914612,chr8,-,9652800,9654799
X20418,NA,ENSG00000283266,72.4616446495056,chr10,-,116974800,116979199
X31103,NA,ENSG00000274776,72.4594764709473,chr18,-,46801600,46804799
X21924,NA,ENSG00000224829,72.4555916786194,chr11,+,77377800,77381999
X13145,NA,ENSG00000237494,72.454948425293,chr6,-,142211000,142215199
X14138,GPNMB,ENSG00000136235,72.4518766403198,chr7,+,23265800,23271199
X5221,LINC01823,ENSG00000224655,72.4505491256714,chr2,+,121926800,121932199
X23428,NA,ENSG00000275476,72.4505491256714,chr12,-,29296400,29301999
X23137,NA,ENSG00000261324,72.444540977478,chr12,-,14759200,14764599
X13436,RSPH3,ENSG00000130363,72.4344902038574,chr6,-,159001800,159004799
X2960,ENAH,ENSG00000154380,72.4262523651123,chr1,-,225644600,225647399
X26858,NA,ENSG00000224078,72.4250330924988,chr15,+,24973600,24979399
X2719,IKBKE,ENSG00000263528,72.4239211082458,chr1,+,206410200,206414599
X7077,KIF15,ENSG00000163808,72.418954372406,chr3,+,44782000,44783599
X25814,KCNH5,ENSG00000140015,72.4156703948975,chr14,-,63048800,63053199
X34246,ARVCF,ENSG00000099889,72.4148530960083,chr22,-,20007800,20015999
X1883,RNU1-75P,ENSG00000194297,72.412853717804,chr1,-,119337800,119342999
X13411,RN7SL173P,ENSG00000243373,72.408974647522,chr6,+,158468400,158472199
X6566,NA,ENSG00000233912,72.4089741706848,chr3,-,5179400,5183999
X16927,DNAAF11,ENSG00000129295,72.404492855072,chr8,-,132638400,132641399
X24976,ITGBL1,ENSG00000198542,72.4016757011414,chr13,+,101519600,101523199
X7827,LOC100422044,ENSG00000242103,72.4014768600464,chr3,+,121368600,121373799
X33862,LINC01695,ENSG00000236532,72.3903813362122,chr21,-,28270800,28276199
X26500,LINC02289,ENSG00000258819,72.3873376846313,chr14,-,77068400,77075599
X7001,ZNF619,ENSG00000177873,72.384373664856,chr3,+,40486000,40490399
X5582,FIGN,ENSG00000182263,72.3799419403076,chr2,-,163711600,163714399
X19789,RN7SL733P,ENSG00000273946,72.3730411529541,chr10,-,87137000,87139199
X16633,DERL1,ENSG00000136986,72.3714909553528,chr8,-,123072800,123074999
X246,VPS13D,ENSG00000048707,72.3639807701111,chr1,+,12258000,12261799
X18151,ZNF462,ENSG00000148143,72.3595809936523,chr9,+,106877400,106881399
X2249,TMCO1,ENSG00000143183,72.3570294380188,chr1,-,165848800,165851599
X3943,PKDCC,ENSG00000162878,72.3510770797729,chr2,+,42048800,42051199
X11408,AFF4,ENSG00000072364,72.3444356918335,chr5,-,132960800,132965199
X22460,LINC02873,ENSG00000175728,72.343861579895,chr11,+,130703000,130707599
X1005,MIR5584,ENSG00000263381,72.317018032074,chr1,+,44510000,44514599
X32985,NA,ENSG00000236811,72.3163185119629,chr20,+,13408800,13415199
X8403,GOLIM4,ENSG00000173905,72.3146929740906,chr3,-,168053800,168057599
X35175,NA,ENSG00000232897,72.3102655410767,chr22,-,47716400,47720199
X12203,SERPINB6,ENSG00000124570,72.3044562339783,chr6,-,2961200,2964199
X22742,CCND2,ENSG00000118971,72.3024101257324,chr12,+,4222600,4226399
X16159,NA,ENSG00000254162,72.3019552230835,chr8,-,80521600,80523799
X9584,SLC66A2P2,ENSG00000270480,72.2992148399353,chr4,+,82690200,82693999
X29144,NA,ENSG00000264031,72.2793226242065,chr17,+,29545200,29550999
X6931,NBPF21P,ENSG00000231382,72.2754435539246,chr3,-,36539400,36542799
X32807,ZNF773,ENSG00000152439,72.266761302948,chr19,+,57502600,57504599
X24524,BRI3BP,ENSG00000184992,72.2637453079224,chr12,+,125010200,125013999
X32502,NA,ENSG00000279948,72.2537784576416,chr19,+,46941200,46948399
X31463,ODF3L2,ENSG00000181781,72.2524514198303,chr19,-,476200,480799
X138,RERE,ENSG00000142599,72.2468409538269,chr1,-,8814800,8817799
X2994,NA,ENSG00000233706,72.2390475273132,chr1,+,226993000,226997799
X12091,GPRIN1,ENSG00000169258,72.2366757392883,chr5,-,176613200,176619399
X34052,NA,ENSG00000235023,72.2235546112061,chr21,-,42648600,42653399
X30123,MIR634,ENSG00000207943,72.2222270965576,chr17,+,66779000,66783399
X23100,GSG1,ENSG00000111305,72.2204828262329,chr12,-,13135200,13139799
X24088,NA,ENSG00000258177,72.2191553115845,chr12,-,96227000,96232999
X31522,NA,ENSG00000267232,72.2125992774963,chr19,+,1872600,1876999
X11995,NA,LRG_458,72.1987524032593,chr5,+,171402800,171403199
X16462,NA,ENSG00000250267,72.1972942352295,chr8,+,109280800,109282999
X19986,ZNF518A,ENSG00000177853,72.196711063385,chr10,+,96157000,96162199
X21831,PAAF1,ENSG00000175575,72.1942844390869,chr11,+,73866400,73868799
X33130,NA,ENSG00000224452,72.193425655365,chr20,-,32146000,32149399
X27411,NA,ENSG00000261102,72.1922841072083,chr15,-,66403400,66407999
X10063,ZDHHC11B,ENSG00000206077,72.1770062446594,chr5,-,760600,764799
X23750,NA,ENSG00000271065,72.1628670692444,chr12,-,51464400,51469799
X2684,RPL13AP11,ENSG00000229657,72.1615395545959,chr1,+,204968400,204973599
X22098,CWC15,ENSG00000150316,72.1592311859131,chr11,-,94952800,94955199
X6585,NA,ENSG00000281863,72.1589879989624,chr3,+,8885000,8888399
X10005,WWC2-AS1,ENSG00000251128,72.1472897529602,chr4,-,183239800,183244599
X8672,FLJ42393,ENSG00000279891,72.1322875022888,chr3,+,188311400,188314199
X15462,RNA5SP244,ENSG00000212238,72.1234622001648,chr7,+,129713800,129716999
X6981,ACVR2B-AS1,ENSG00000229589,72.1200342178345,chr3,-,38472400,38476799
X15827,NA,ENSG00000255487,72.1165952682495,chr8,+,38282000,38284799
X24041,NA,ENSG00000277130,72.1124677658081,chr12,-,79762000,79765399
X20817,MOB2,ENSG00000182208,72.1016159057617,chr11,-,1513800,1516999
X2974,NA,ENSG00000213032,72.099063873291,chr1,+,225974000,225976199
X35146,TBC1D22A-AS1,ENSG00000280080,72.0968899726868,chr22,-,46861000,46863799
X3621,ASXL2,ENSG00000143970,72.0964088439941,chr2,-,25877400,25878399
X24533,NA,ENSG00000256128,72.0946645736694,chr12,-,126754800,126757999
X22909,NA,ENSG00000201663,72.0922923088074,chr12,-,7834800,7838799
X27773,NA,ENSG00000259621,72.0918755531311,chr15,-,98943400,98947199
X10629,NA,ENSG00000279985,72.0855398178101,chr5,-,61035600,61038199
X22091,NA,ENSG00000213368,72.068076133728,chr11,+,94852600,94856599
X6832,NA,ENSG00000224237,72.0680198669434,chr3,-,27116800,27120199
X9301,NA,ENSG00000273369,72.0674457550049,chr4,-,44699000,44701999
X7099,NA,ENSG00000232455,72.0670313835144,chr3,-,45460400,45465399
X190,PGD,ENSG00000142657,72.0522680282593,chr1,+,10382800,10385399
X31210,NA,ENSG00000278703,72.0494270324707,chr18,-,57601600,57604599
X476,PNRC2,ENSG00000189266,72.0371069908142,chr1,+,23966400,23968799
X26429,NA,ENSG00000258769,72.0363917350769,chr14,+,74484000,74485799
X32123,NA,ENSG00000266910,72.0221147537231,chr19,+,30058000,30060199
X10013,CLDN24,ENSG00000185758,72.0117878913879,chr4,-,183330200,183333799
X24039,NA,ENSG00000258048,72.0117878913879,chr12,+,79676200,79681599
X12286,NA,ENSG00000277411,72.0056791305542,chr6,-,15523600,15526799
X16557,TNFRSF11B,ENSG00000164761,72.0054802894592,chr8,-,118935400,118938599
X343,NA,ENSG00000240490,71.9936399459839,chr1,+,19412000,19417999
X17533,LRRC19,ENSG00000184434,71.983362197876,chr9,-,27036600,27040999
X14653,NA,ENSG00000237471,71.9827313423157,chr7,+,45977200,45981199
X22485,LOC100419058,ENSG00000271624,71.9775247573853,chr11,-,131788200,131790999
X7072,ZNF502,ENSG00000196653,71.9727091789246,chr3,+,44720200,44722799
X25417,NA,ENSG00000258857,71.964427947998,chr14,+,50388600,50392399
X26989,OIP5-AS1,ENSG00000247556,71.9583168029785,chr15,+,41290800,41295999
X6022,MYOSLID,ENSG00000229647,71.9554438591003,chr2,+,207249200,207253799
X6327,EEF1B2P7,ENSG00000213055,71.9383401870728,chr2,-,232725800,232729399
X31055,NA,ENSG00000279543,71.9370126724243,chr18,-,37415800,37419399
X10540,NDUFS4,ENSG00000164258,71.9340806007385,chr5,+,53680800,53681799
X29661,NA,ENSG00000279089,71.9281878471375,chr17,-,51202200,51206799
X1145,NA,ENSG00000223390,71.9206213951111,chr1,+,52030800,52034799
X34022,NA,ENSG00000233818,71.915952205658,chr21,+,36459400,36464399
X2677,NFASC,ENSG00000163531,71.9128804206848,chr1,+,204878400,204883799
X23910,AGAP2-AS1,ENSG00000255737,71.9128804206848,chr12,+,57731400,57736399
X29802,MIR4729,ENSG00000263857,71.9115529060364,chr17,+,59377400,59381999
X16147,NA,ENSG00000276418,71.8857674598694,chr8,-,80082000,80084999
X35058,PARVB,ENSG00000188677,71.8855686187744,chr22,+,43996600,44001599
X2200,VANGL2,ENSG00000162738,71.8845834732056,chr1,+,160398800,160400599
X16978,NA,ENSG00000271048,71.8671054840088,chr8,+,134683800,134687999
X6745,RN7SL4P,ENSG00000263740,71.8654127120972,chr3,+,15740600,15741799
X33830,RNU1-139P,ENSG00000212609,71.8612961769104,chr21,+,19345000,19346999
X24268,NA,ENSG00000277566,71.8518304824829,chr12,+,113263400,113270999
X35539,NA,ENSG00000199751,71.8418607711792,chrX,-,71470000,71474799
X20525,NA,ENSG00000271670,71.8407769203186,chr10,-,120883800,120886199
X16754,NA,ENSG00000253470,71.8394889831543,chr8,-,125609400,125617599
X28569,CRISPLD2,ENSG00000103196,71.8392062187195,chr16,+,84760600,84763799
X15658,MICU3,ENSG00000155970,71.8384156227112,chr8,+,17026200,17029599
X8802,RNU6-910P,ENSG00000212146,71.83748960495,chr3,-,196352400,196359599
X9328,RNU5E-3P,ENSG00000251722,71.8297095298767,chr4,-,48602800,48605199
X13977,NA,ENSG00000272894,71.8294687271118,chr7,-,7581200,7582999
X13219,STXBP5-AS1,ENSG00000233452,71.8286371231079,chr6,-,147247000,147253199
X17608,APTX,ENSG00000137074,71.8254008293152,chr9,-,33023000,33026199
X28169,TPRKBP2,ENSG00000260452,71.8234577178955,chr16,-,28118600,28122199
X23888,MYO1A,ENSG00000166866,71.8223857879639,chr12,-,57055400,57061999
X13244,NA,ENSG00000219433,71.8136901855469,chr6,+,149797200,149801399
X31938,BRD4,ENSG00000141867,71.8125057220459,chr19,-,15329800,15331599
X7704,ZBTB20-AS5,ENSG00000242290,71.8017935752869,chr3,+,114535800,114540999
X9622,WDFY3,ENSG00000163625,71.7976446151733,chr4,-,84966600,84968199
X23319,NA,ENSG00000256482,71.7953410148621,chr12,+,24833600,24838599
X20270,NA,ENSG00000272160,71.7953305244446,chr10,+,109879800,109882599
X4812,RNU7-96P,ENSG00000238719,71.7921047210693,chr2,-,97893800,97896199
X16523,NA,LRG_493,71.7890892028809,chr8,-,117892200,117897599
X19284,NA,ENSG00000279863,71.7879047393799,chr10,+,50354000,50357199
X9094,RN7SL16P,ENSG00000243005,71.7848787307739,chr4,-,24572400,24574399
X28494,NA,ENSG00000207525,71.7759947776794,chr16,-,74462000,74467399
X25088,LAMP1,ENSG00000185896,71.7740864753723,chr13,+,113295000,113297999
X19581,NA,ENSG00000237139,71.7705931663513,chr10,+,73578000,73580999
X3103,TSNAX,ENSG00000116918,71.768497467041,chr1,+,231568200,231573799
X23500,LOC100420186,ENSG00000258134,71.7671699523926,chr12,-,32272000,32275799
X21739,PPFIA1,ENSG00000131626,71.7618012428284,chr11,+,70243600,70248199
X23515,DNM1L,ENSG00000087470,71.7574019432068,chr12,+,32678600,32683199
X31104,NA,ENSG00000274776,71.7554774284363,chr18,-,46813400,46815399
X2431,SOAT1,ENSG00000057252,71.7496218681335,chr1,+,179328400,179331999
X31745,CERS4,ENSG00000090661,71.7351732254028,chr19,+,8212400,8217399
X6769,NA,ENSG00000231780,71.7307744026184,chr3,+,17361600,17365599
X27794,RN7SL209P,ENSG00000240927,71.7243213653564,chr15,-,101772400,101774799
X16731,RN7SL329P,ENSG00000242170,71.7070026397705,chr8,+,125186600,125190799
X22547,RNU4ATAC16P,ENSG00000221439,71.6983203887939,chr12,+,833800,836399
X18657,TMEM141,ENSG00000244187,71.696150302887,chr9,+,136790600,136792999
X9461,RNU1-63P,ENSG00000206629,71.6868271827698,chr4,-,67412800,67417199
X18528,SETX,ENSG00000107290,71.6836996078491,chr9,-,132324600,132327399
X18528,NA,LRG_268,71.6836996078491,chr9,-,132324600,132327399
X18018,MIR6081,ENSG00000274115,71.682975769043,chr9,+,95001800,95005799
X11327,NA,ENSG00000207290,71.672661781311,chr5,-,128321400,128326599
X11575,PCDHGC5,ENSG00000240764,71.6662354469299,chr5,+,141504000,141508999
X2764,SERTAD4,ENSG00000082497,71.6643834114075,chr1,+,210108400,210112999
X31476,NA,ENSG00000267666,71.6604824066162,chr19,+,663400,668599
X7470,RNU6-26P,ENSG00000206712,71.6535310745239,chr3,-,98816000,98820199
X4344,RNU6-548P,ENSG00000252892,71.6507143974304,chr2,+,64996600,65001599
X23408,NA,ENSG00000273989,71.6507143974304,chr12,+,28234200,28239599
X187,RN7SL731P,ENSG00000264501,71.6502456665039,chr1,+,10303000,10306799
X15906,NA,ENSG00000254198,71.6468629837036,chr8,-,43132800,43136199
X7825,NAP1L1P3,ENSG00000213371,71.6437630653381,chr3,+,120780000,120784399
X10955,ADGRV1,ENSG00000164199,71.6418333053589,chr5,+,90518600,90522799
X28072,MIR365A,ENSG00000199130,71.6373109817505,chr16,+,14319800,14323999
X11789,MIR1303,ENSG00000221552,71.628270149231,chr5,+,154673800,154679199
X34925,ADSL,ENSG00000239900,71.6238431930542,chr22,+,40236000,40240399
X35170,LOC284930,ENSG00000224271,71.6090841293335,chr22,+,47641600,47643599
X2897,HDAC1P2,ENSG00000233012,71.6022853851318,chr1,+,220622400,220626799
X5085,MIR4782,ENSG00000265429,71.597243309021,chr2,-,113726600,113730799
X17836,NA,ENSG00000239180,71.5920362472534,chr9,-,70331800,70334799
X29667,LINC02073;LINC02072,ENSG00000267452,71.5861477851868,chr17,+,51426800,51431799
X3772,NA,ENSG00000278908,71.5850639343262,chr2,+,30579200,30582199
X26688,GLRX5,ENSG00000182512,71.5753235816956,chr14,+,95531200,95536599
X28577,NA,ENSG00000270124,71.5692710876465,chr16,-,85572800,85576199
X3382,NA,ENSG00000234818,71.5597467422485,chr2,+,10532600,10535999
X29879,PPM1D,ENSG00000170836,71.544885635376,chr17,+,60622600,60625399
X29879,NA,LRG_770,71.544885635376,chr17,+,60622600,60625399
X33875,N6AMT1,ENSG00000156239,71.5426430702209,chr21,-,28874000,28877799
X12938,NA,ENSG00000272017,71.5313491821289,chr6,+,99553200,99557399
X32304,MIR6796,ENSG00000275652,71.5240502357483,chr19,+,40370800,40374599
X31903,PALM3,ENSG00000187867,71.5220794677734,chr19,-,14048600,14054399
X19710,NA,ENSG00000233703,71.5185108184814,chr10,-,80760600,80766399
X1665,GNAI3,ENSG00000065135,71.517183303833,chr1,+,109569600,109574799
